config,operator,source,NS,sampler,seed,pre_2opt,post_2opt,fes,iterations,two_opt_evals,two_opt_moves,wall_seconds,N,ST,max_fes,instance,rounded,git_sha
swap(best tree)|NS=6|-,swap,best,6,-,4,8614.0,7941.0,104260,334,8806,7,1.678,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,5,8614.0,7941.0,104260,334,8806,7,1.668,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,6,8614.0,7941.0,104260,334,8806,7,1.598,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,7,8614.0,7941.0,104260,334,8806,7,1.74,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,8,8614.0,7941.0,104260,334,8806,7,1.91,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,9,8614.0,7941.0,104260,334,8806,7,1.885,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,10,8614.0,7941.0,104260,334,8806,7,1.922,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,11,8614.0,7941.0,104260,334,8806,7,1.933,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,12,8614.0,7941.0,104260,334,8806,7,1.831,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,13,8614.0,7941.0,104260,334,8806,7,2.023,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,14,8614.0,7941.0,104260,334,8806,7,1.996,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,15,8506.0,7941.0,104260,334,7697,6,1.901,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,16,8614.0,7941.0,104260,334,8806,7,1.829,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,17,8614.0,7941.0,104260,334,8806,7,1.73,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,18,8614.0,7941.0,104260,334,8806,7,1.698,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,19,8614.0,7941.0,104260,334,8806,7,1.744,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,20,8614.0,7941.0,104260,334,8806,7,1.847,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,21,8614.0,7941.0,104260,334,8806,7,1.802,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,22,8614.0,7941.0,104260,334,8806,7,1.976,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,23,8614.0,7941.0,104260,334,8806,7,1.693,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,24,8614.0,7941.0,104260,334,8806,7,1.525,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,25,8614.0,7941.0,104260,334,8806,7,1.561,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,26,8614.0,7941.0,104260,334,8806,7,1.569,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,27,8614.0,7941.0,104260,334,8806,7,1.556,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,28,8614.0,7941.0,104260,334,8806,7,1.518,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,29,8614.0,7941.0,104260,334,8806,7,1.515,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,0,8614.0,7941.0,104000,1999,8806,7,2.173,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,1,8614.0,7941.0,104000,1999,8806,7,2.164,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,2,8614.0,7941.0,104000,1999,8806,7,2.198,52,0.5,104000,berlin52,True,06f6700
